artigo,capitulo_atual,tema,status,plc_arts,observacao
20,Tít. II — Cap. II,Higiene dos passeios e logradouros,ALTERADO,13–20,Proibições consolidadas (13–14); limpeza do passeio pelo ocupante mantida (15); multas migradas para UFESP com faixas por volume (20); veículo abandonado ganha regra própria (19)
21,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
22,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
23,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
24,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
25,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
26,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
27,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
28,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
29,Tít. II — Cap. III,Higiene das habitações,CONDENSADO,21–24,Regras de condomínio e detalhes de reservatórios/galinheiros suprimidos; deveres gerais nos arts. 22–23
30,Tít. II — Cap. IV,Higiene das edificações na área rural,CONDENSADO,11 §2º II,Sem capítulo próprio; fiscalização de áreas urbana e não urbana citada genericamente
31,Tít. II — Cap. IV,Higiene das edificações na área rural,CONDENSADO,11 §2º II,Sem capítulo próprio; fiscalização de áreas urbana e não urbana citada genericamente
32,Tít. II — Cap. IV,Higiene das edificações na área rural,CONDENSADO,11 §2º II,Sem capítulo próprio; fiscalização de áreas urbana e não urbana citada genericamente
33,Tít. II — Cap. IV,Higiene das edificações na área rural,CONDENSADO,11 §2º II,Sem capítulo próprio; fiscalização de áreas urbana e não urbana citada genericamente
34,Tít. II — Cap. V,Higiene dos sanitários,ALTERADO,25–26,Mantido apenas para estabelecimentos comerciais/industriais; exigências residenciais suprimidas; dispensador de sabão e lixeira com pedal (25 VII)
35,Tít. II — Cap. V,Higiene dos sanitários,ALTERADO,25–26,Mantido apenas para estabelecimentos comerciais/industriais; exigências residenciais suprimidas; dispensador de sabão e lixeira com pedal (25 VII)
36,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
37,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
38,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
39,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
40,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
41,Tít. II — Cap. VI,Poços e fontes de abastecimento,REMETIDO,27–28,Especificações construtivas (diâmetro; tampa; distâncias) suprimidas; remissão a normas e regramentos específicos
42,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
43,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
44,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
45,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
46,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
47,Tít. II — Cap. VII,Instalação e limpeza de fossas,REMETIDO,79,Detalhes construtivos suprimidos; na ausência de rede exige-se sistema de tratamento conforme ABNT (art. 79)
48,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
49,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
50,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
51,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
52,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
53,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
54,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
55,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
56,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
57,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
58,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
59,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
60,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
61,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
62,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
63,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
64,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
65,Tít. II — Cap. VIII (Seções I–II),Fiscalização de alimentos e gêneros alimentícios,CONDENSADO,33–40,Definições de impróprio/adulterado/fraudado mantidas quase literais (34); regras por produto (frutas; aves; ovos; gelo) condensadas nos arts. 38–40
66,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
67,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
68,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
69,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
70,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
71,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
72,Tít. II — Cap. VIII (Seção III),Transporte de gêneros alimentícios,CONDENSADO,41–42,Regras específicas por tipo de veículo suprimidas; remissão à legislação sanitária
73,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
74,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
75,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
76,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
77,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
78,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
79,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
80,Tít. II — Cap. VIII (Seções IV–V),Utensílios; embalagem e rotulagem,REMETIDO,40,Rotulagem é matéria federal (ANVISA); utensílios inócuos mantidos no art. 40
81,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
82,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
83,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
84,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
85,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
86,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
87,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
88,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
89,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
90,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
91,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
92,Tít. II — Cap. VIII (Seção VI),Estabelecimentos de gêneros alimentícios,CONDENSADO,43–45,Exigências construtivas minuciosas (ralos; balcões de mármore; telas) suprimidas; asseio; controle de pragas e atestado de saúde mantidos
93,Tít. II — Cap. VIII (Seção VII),Supermercados,REVOGADO_SEM_CORRESPONDENTE,—,Regras específicas (balança-piloto; lavabos junto às gôndolas) desaparecem
94,Tít. II — Cap. VIII (Seção VII),Supermercados,REVOGADO_SEM_CORRESPONDENTE,—,Regras específicas (balança-piloto; lavabos junto às gôndolas) desaparecem
95,Tít. II — Cap. VIII (Seção VIII),Casas de carnes e peixarias,CONDENSADO,46–48,Requisitos materiais substituídos por dever geral de higiene; uniformes mantidos (48)
96,Tít. II — Cap. VIII (Seção VIII),Casas de carnes e peixarias,CONDENSADO,46–48,Requisitos materiais substituídos por dever geral de higiene; uniformes mantidos (48)
97,Tít. II — Cap. VIII (Seção VIII),Casas de carnes e peixarias,CONDENSADO,46–48,Requisitos materiais substituídos por dever geral de higiene; uniformes mantidos (48)
98,Tít. II — Cap. VIII (Seção IX),Hotéis; restaurantes e congêneres,CONDENSADO,43–45,Lista minuciosa (açucareiros; fio dental; canudos; cardápios plastificados) desaparece
99,Tít. II — Cap. VIII (Seção IX),Hotéis; restaurantes e congêneres,CONDENSADO,43–45,Lista minuciosa (açucareiros; fio dental; canudos; cardápios plastificados) desaparece
100,Tít. II — Cap. VIII (Seção X),Vendedores ambulantes de alimentos,JA_REVOGADO,—,Já revogados pela LC 1189/2023; matéria em legislação específica de ambulantes
101,Tít. II — Cap. VIII (Seção X),Vendedores ambulantes de alimentos,JA_REVOGADO,—,Já revogados pela LC 1189/2023; matéria em legislação específica de ambulantes
102,Tít. II — Cap. VIII (Seção X),Vendedores ambulantes de alimentos,JA_REVOGADO,—,Já revogados pela LC 1189/2023; matéria em legislação específica de ambulantes
103,Tít. II — Cap. VIII (Seção X),Vendedores ambulantes de alimentos,JA_REVOGADO,—,Já revogados pela LC 1189/2023; matéria em legislação específica de ambulantes
104,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
105,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
106,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
107,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
108,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
109,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
110,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
111,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
112,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
113,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
114,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
115,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
116,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
117,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
118,Tít. II — Cap. IX,Higiene e condições dos locais de trabalho,CONDENSADO,29,Iluminação; ventilação e conforto térmico (matéria trabalhista/NRs) suprimidos; dever geral de higiene no art. 29
119,Tít. II — Cap. IX,Salões; barbearias; tatuadores (art. 119 e 119-A a 119-G),CONDENSADO,30–31,Esterilização e lavatório mantidos; cartazes obrigatórios e detalhes de cabines suprimidos
120,Tít. II — Cap. IX,Farmácias; necrotérios; substâncias perigosas,ALTERADO,32,Farmácias passam a exigir climatização (novo); necrotérios e rotulagem de perigosos suprimidos
121,Tít. II — Cap. IX,Farmácias; necrotérios; substâncias perigosas,ALTERADO,32,Farmácias passam a exigir climatização (novo); necrotérios e rotulagem de perigosos suprimidos
122,Tít. II — Cap. IX,Farmácias; necrotérios; substâncias perigosas,ALTERADO,32,Farmácias passam a exigir climatização (novo); necrotérios e rotulagem de perigosos suprimidos
123,Tít. II — Cap. IX,Aerodispersóides; placas de advertência de bebidas (123; 123-A; 123-B),REVOGADO_SEM_CORRESPONDENTE,—,Placas de advertência sobre álcool e energéticos desaparecem
124,Tít. II — Cap. X,Hospitais; casas de saúde e congêneres,ALTERADO,50–51,Inclui ILPIs; lavanderia própria ou terceirizada licenciada; morgue com dispensa para ILPI
125,Tít. II — Cap. XI,Estabelecimentos educacionais,CONDENSADO,29,Sem capítulo próprio; dever geral de higiene
126,Tít. II — Cap. XI,Estabelecimentos educacionais,CONDENSADO,29,Sem capítulo próprio; dever geral de higiene
127,Tít. II — Cap. XI,Estabelecimentos educacionais,CONDENSADO,29,Sem capítulo próprio; dever geral de higiene
128,Tít. II — Cap. XII,Campos esportivos,REVOGADO_SEM_CORRESPONDENTE,—,Exigência de gramado e drenagem desaparece
129,Tít. II — Cap. XIII,Piscinas,ALTERADO,65–68,Exame médico trimestral restrito ao uso público; salva-vidas conforme lei específica; dispositivos anti-sucção (novo; 66 V)
130,Tít. II — Cap. XIII,Piscinas,ALTERADO,65–68,Exame médico trimestral restrito ao uso público; salva-vidas conforme lei específica; dispositivos anti-sucção (novo; 66 V)
131,Tít. II — Cap. XIII,Piscinas,ALTERADO,65–68,Exame médico trimestral restrito ao uso público; salva-vidas conforme lei específica; dispositivos anti-sucção (novo; 66 V)
132,Tít. II — Cap. XIII,Piscinas,ALTERADO,65–68,Exame médico trimestral restrito ao uso público; salva-vidas conforme lei específica; dispositivos anti-sucção (novo; 66 V)
133,Tít. II — Cap. XIV,Coleta de lixo nos prédios,ALTERADO,52–57,Novo regramento: sacos até 100 L; antecedência máxima de 5h; coleta seletiva e cata-treco com agendamento
134,Tít. II — Cap. XIV,Coleta de lixo nos prédios,ALTERADO,52–57,Novo regramento: sacos até 100 L; antecedência máxima de 5h; coleta seletiva e cata-treco com agendamento
135,Tít. II — Cap. XIV,Coleta de lixo nos prédios,ALTERADO,52–57,Novo regramento: sacos até 100 L; antecedência máxima de 5h; coleta seletiva e cata-treco com agendamento
136,Tít. II — Cap. XV,Poluição do ar e das águas,ALTERADO,69–90,Capítulo ampliado: escala Ringelmann; odores; poluição sonora por NBR 10151/10152; solo e subsolo; multas de 200–2.000 UFESP
137,Tít. II — Cap. XV,Poluição do ar e das águas,ALTERADO,69–90,Capítulo ampliado: escala Ringelmann; odores; poluição sonora por NBR 10151/10152; solo e subsolo; multas de 200–2.000 UFESP
138,Tít. II — Cap. XV,Poluição do ar e das águas,ALTERADO,69–90,Capítulo ampliado: escala Ringelmann; odores; poluição sonora por NBR 10151/10152; solo e subsolo; multas de 200–2.000 UFESP
139,Tít. II — Cap. XV,Poluição do ar e das águas,ALTERADO,69–90,Capítulo ampliado: escala Ringelmann; odores; poluição sonora por NBR 10151/10152; solo e subsolo; multas de 200–2.000 UFESP
140,Tít. II — Cap. XV,Poluição do ar e das águas,ALTERADO,69–90,Capítulo ampliado: escala Ringelmann; odores; poluição sonora por NBR 10151/10152; solo e subsolo; multas de 200–2.000 UFESP
141,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
142,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
143,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
144,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
145,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
